Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer
Wii Sports,Wii,2006,Sports,Nintendo,4136,2896,377,845,8253,76,51,8,322,Nintendo
Super Mario Bros.,NES,1985,Platform,Nintendo,2908,358,681,77,4024,,,,,
Mario Kart Wii,Wii,2008,Racing,Nintendo,1568,1276,379,329,3552,82,73,8.3,709,Nintendo
Wii Sports Resort,Wii,2009,Sports,Nintendo,1561,1093,328,295,3277,80,73,8,192,Nintendo
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,1127,889,1022,100,3137,,,,,
Tetris,GB,1989,Puzzle,Nintendo,2320,226,422,58,3026,,,,,
New Super Mario Bros.,DS,2006,Platform,Nintendo,1128,914,650,288,2980,89,65,8.5,431,Nintendo
Wii Play,Wii,2006,Misc,Nintendo,1396,918,293,284,2892,58,41,6.6,129,Nintendo
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,1444,694,470,224,2832,87,80,8.4,594,Nintendo
Duck Hunt,NES,1984,Shooter,Nintendo,2693,63,28,47,2831,,,,,
Nintendogs,DS,2005,Simulation,Nintendo,905,1095,193,274,2467,,,,,
Mario Kart DS,DS,2005,Racing,Nintendo,971,747,413,190,2321,91,64,8.6,464,Nintendo
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,900,618,720,71,2310,,,,,
Wii Fit,Wii,2007,Sports,Nintendo,892,803,360,215,2270,80,63,7.7,146,Nintendo
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,1500,489,24,169,2181,61,45,6.3,106,Good Science Studio
Wii Fit Plus,Wii,2009,Sports,Nintendo,901,849,253,177,2179,80,33,7.4,52,Nintendo
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,702,909,98,396,2104,97,50,8.2,3994,Rockstar North
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,943,40,41,1057,2081,95,80,9,1588,Rockstar North
Super Mario World,SNES,1990,Platform,Nintendo,1278,375,354,55,2061,,,,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,474,920,416,204,2015,77,58,7.9,50,Nintendo
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,638,446,604,136,1825,,,,,
Super Mario Land,GB,1989,Platform,Nintendo,1083,271,418,42,1814,,,,,
Super Mario Bros. 3,NES,1988,Platform,Nintendo,954,344,384,46,1728,,,,,
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,966,514,6,141,1627,97,58,8.1,3711,Rockstar North
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,841,549,47,178,1615,95,62,8.7,730,Rockstar North
Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,606,390,538,50,1585,,,,,
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,343,535,532,118,1529,77,37,7.1,19,Nintendo
Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,551,317,565,80,1514,,,,,
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,685,509,187,116,1498,95,54,8.4,314,Polyphony Digital
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,904,424,13,132,1473,88,81,3.4,8713,"Infinity Ward, Sledgehammer Games"
Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,589,504,312,59,1464,,,,,
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,603,586,36,238,1463,,,,,
Call of Duty: Black Ops,X360,2010,Shooter,Activision,970,368,11,113,1461,87,89,6.3,1454,Treyarch
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,528,419,435,78,1460,,,,,
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,499,573,65,242,1379,83,21,5.3,922,Treyarch
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,825,424,7,112,1367,83,73,4.8,2256,Treyarch
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,852,359,8,128,1347,94,100,6.3,2698,Infinity Ward
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,554,573,49,157,1332,88,39,3.2,5234,"Infinity Ward, Sledgehammer Games"
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,699,451,30,130,1310,97,56,8.5,664,DMA Design
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,662,255,266,101,1284,93,81,8.9,1662,Game Arts
Mario Kart 7,3DS,2011,Racing,Nintendo,503,402,269,91,1266,85,73,8.2,632,"Retro Studios, Entertainment Analysis & Development Division"
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,599,437,48,179,1263,88,58,6.4,1094,Treyarch
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,396,631,38,197,1261,97,66,8.3,2899,Rockstar North
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,250,345,533,86,1213,86,57,8.7,242,Nintendo
Halo 3,X360,2007,Shooter,Microsoft Game Studios,797,281,13,121,1212,94,86,7.8,4100,"Bungie Software, Bungie"
Super Mario 64,N64,1996,Platform,Nintendo,691,285,191,23,1189,,,,,
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,434,271,396,76,1177,,,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,435,349,310,74,1168,,,,,
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,301,1,110,753,1166,89,74,8.5,272,Polyphony Digital
Super Mario Galaxy,Wii,2007,Platform,Nintendo,606,335,120,74,1135,97,73,8.9,2147,Nintendo
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,616,204,269,29,1118,,,,,
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,676,307,14,103,1101,98,86,7.9,2951,Rockstar North
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,402,387,254,52,1095,96,16,8.7,138,Polyphony Digital
Super Mario 3D Land,3DS,2011,Platform,Nintendo,489,300,214,78,1081,90,82,8.4,921,Nintendo
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,296,482,81,211,1070,84,82,7.5,1112,Polyphony Digital
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,499,364,38,160,1060,94,67,6.3,2073,Infinity Ward
Super Mario All-Stars,SNES,1993,Platform,Nintendo,599,215,212,29,1055,,,,,
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,476,369,44,161,1050,98,64,7.5,2833,Rockstar North
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,434,265,315,35,1049,,,,,
Super Mario 64,DS,2004,Platform,Nintendo,501,307,125,97,1030,,,,,
Call of Duty: Ghosts,X360,2013,Shooter,Activision,673,256,4,91,1025,73,29,2.6,2117,Infinity Ward
Just Dance 3,Wii,2011,Misc,Ubisoft,595,311,0,106,1012,74,15,7.8,16,Ubisoft
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,366,314,247,63,990,78,70,7.2,424,Nintendo
Mario Kart 64,N64,1996,Racing,Nintendo,555,194,223,15,987,,,,,
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,704,195,8,79,986,91,99,7.9,2045,Bungie
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,301,247,328,96,972,92,20,9.2,1282,SquareSoft
Halo 4,X360,2012,Shooter,Microsoft Game Studios,665,228,4,74,971,87,87,7,3260,343 Industries
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,388,342,169,50,949,93,23,9,135,Polyphony Digital
Just Dance 2,Wii,2010,Misc,Ubisoft,580,285,1,78,944,74,24,7.3,24,Ubisoft
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,410,363,38,125,936,71,10,2.6,1047,Infinity Ward
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,593,236,13,90,931,94,70,8.4,1320,Infinity Ward
Donkey Kong Country,SNES,1994,Platform,Nintendo,436,171,300,23,930,,,,,
Minecraft,X360,2013,Misc,Microsoft Game Studios,570,265,2,81,918,,,,,
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,203,236,439,39,916,88,70,8.7,626,Nintendo
Mario Party DS,DS,2007,Misc,Nintendo,440,185,198,68,891,72,27,7.8,85,Hudson Soft
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,505,279,10,85,879,96,89,8.4,3589,Bethesda Game Studios
Super Mario Kart,SNES,1992,Racing,Nintendo,354,124,381,18,876,,,,,
FIFA 16,PS4,2015,Sports,Electronic Arts,112,612,6,128,857,82,42,4.3,896,EA Sports
Halo 2,XB,2004,Shooter,Microsoft Game Studios,682,153,5,8,849,95,91,8.2,1218,Bungie Software
Wii Party,Wii,2010,Misc,Nintendo,175,347,249,67,838,68,42,7.4,54,Nd Cube
Mario Party 8,Wii,2007,Misc,Nintendo,374,224,158,70,827,62,41,6.3,190,Hudson
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,106,501,13,197,816,88,37,6.6,348,Electronic Arts
GoldenEye 007,N64,1997,Shooter,Nintendo,580,201,13,15,809,,,,,
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,279,172,314,41,807,,,,,
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,291,207,273,33,805,92,53,8.7,1056,SquareSoft
The Sims 3,PC,2009,Simulation,Electronic Arts,99,642,0,60,801,86,75,7.6,886,The Sims Studio
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,257,386,66,91,799,,,,,
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,299,349,22,128,798,,,,,
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,228,172,363,23,786,90,24,8.6,644,SquareSoft
Pac-Man,2600,1982,Puzzle,Atari,728,45,0,8,781,,,,,
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,276,172,269,54,772,83,46,8.5,203,Game Freak
